32860	31660	0	0.013787
32595	31713	1	0.682264
32729	31423	0	0.194635
32662	31653	1	0.458514
32516	31704	1	0.913329
32611	31652	1	0.693733
32517	31488	1	0.306010
32822	31584	0	0.013420
32491	31586	0	0.653546
32599	31720	1	0.912376
32870	31680	0	0.058905
32627	31544	0	0.165628
32946	31624	0	0.060392
32583	31642	1	0.476785
32944	31722	0	0.133121
32549	31511	1	0.951300
32602	31647	1	0.980047
32625	31402	0	0.468927
32638	31560	1	0.988243
32935	31441	0	0.045612
32860	31498	0	0.132329
32555	31594	0	0.029210
32737	31443	1	0.885489
32965	31657	0	0.016240
32648	31633	1	0.936188
32730	31551	1	0.846043
32917	31547	0	0.286837
32745	31447	0	0.284595
32593	31472	0	0.162274
32853	31526	0	0.050327
32733	31524	1	0.439964
32675	31562	0	0.151780
32748	31547	1	0.753829
32823	31524	1	0.229008
32661	31448	1	0.813570
32927	31647	1	0.810059
32637	31468	1	0.860900
32648	31650	1	0.402826
32496	31542	1	0.579218
32936	31571	0	0.017598
32633	31422	1	0.856358
32976	31432	1	0.113553
32751	31436	1	0.948132
32540	31443	1	0.975613
32753	31540	0	0.618088
32958	31581	0	0.006150
32696	31679	1	0.419233
32621	31455	0	0.853323
32672	31498	1	0.867357
32867	31506	1	0.058884
32537	31552	1	0.896803
32853	31664	0	0.098106
32572	31647	1	0.920808
32625	31410	1	0.897164
32777	31692	0	0.069088
32581	31730	1	0.889178
32492	31609	1	0.986511
32719	31713	0	0.082467
32520	31564	0	0.005573
32756	31455	0	0.626316
32648	31689	1	0.812773
32954	31426	0	0.003560
32559	31540	1	0.738741
32648	31429	1	0.982111
32727	31647	1	0.947623
32951	31639	1	0.860754
32951	31635	1	0.978305
32674	31682	1	0.349868
32963	31516	0	0.066178
32683	31582	1	0.969415
32536	31498	1	0.963551
32711	31660	0	0.188951
32564	31523	1	0.844819
32780	31645	0	0.010863
32573	31517	1	0.993077
32723	31599	1	0.823289
32734	31531	0	0.084597
32599	31643	1	0.813180
32597	31633	1	0.560298
32678	31520	0	0.016012
32969	31617	1	0.887567
32876	31719	0	0.041141
32859	31664	0	0.061770
32808	31594	0	0.075487
32693	31602	1	0.404666
32595	31525	1	0.972368
32805	31446	0	0.156932
32740	31694	0	0.003607
32605	31439	1	0.903085
32729	31436	1	0.847387
32716	31605	0	0.090508
32632	31461	1	0.490126
32750	31551	0	0.763019
32527	31548	0	0.004115
32536	31672	0	0.692599
32504	31497	1	0.906951
32982	31479	0	0.058589
32952	31436	1	0.943036
32626	31467	1	0.822271
32811	31507	1	0.744548
32581	31700	0	0.237770
32980	31405	0	0.031566
32597	31640	1	0.491457
32614	31635	1	0.995229
32804	31568	1	0.574859
32819	31693	0	0.101633
32537	31639	1	0.947338
32738	31560	1	0.894840
32732	31451	1	0.333610
32761	31647	0	0.763336
32635	31645	0	0.031505
32757	31421	0	0.023188
32603	31608	0	0.353556
32804	31453	1	0.168061
32849	31483	1	0.872302
32618	31510	0	0.010788
32959	31615	1	0.505600
32858	31713	0	0.010201
32920	31443	1	0.951219
32847	31589	0	0.081151
32873	31531	0	0.021720
32831	31636	0	0.022670
32608	31557	1	0.277149
32643	31557	1	0.559934
32575	31672	0	0.631724
32955	31615	1	0.395442
32694	31597	1	0.947561
32671	31667	1	0.721200
32677	31551	1	0.862094
32899	31692	0	0.002855
32608	31578	0	0.213957
32952	31441	0	0.171715
32729	31533	0	0.058029
32741	31719	0	0.204780
32857	31564	0	0.007736
32759	31402	0	0.055167
32903	31416	0	0.001218
32726	31479	0	0.055508
32811	31686	0	0.719629
32950	31448	0	0.025773
32621	31569	1	0.533196
32536	31659	1	0.793858
32677	31485	1	0.682174
32673	31553	0	0.162408
32772	31665	0	0.002043
32910	31492	0	0.021024
32847	31482	0	0.032727
32540	31612	0	0.173071
32621	31498	0	0.834374
32568	31433	1	0.943959
32627	31433	1	0.942759
32981	31560	1	0.934495
32822	31449	0	0.013855
32599	31625	1	0.955255
32966	31465	1	0.924535
32718	31642	1	0.166088
32888	31648	0	0.073399
32505	31409	1	0.499152
32803	31469	0	0.052156
32943	31655	0	0.145740
32776	31558	0	0.029049
32685	31647	1	0.919227
32781	31635	1	0.915911
32797	31423	1	0.459631
32637	31500	1	0.631726
32646	31483	1	0.976918
32824	31476	0	0.034870
32671	31523	1	0.826575
32879	31669	0	0.002031
32680	31541	0	0.033275
32897	31565	1	0.289159
32937	31695	0	0.027018
32780	31465	0	0.412703
32978	31583	0	0.080542
32578	31599	1	0.973023
32914	31526	0	0.009619
32648	31698	0	0.928046
32977	31633	0	0.022757
32721	31561	1	0.208263
32689	31436	1	0.977220
32761	31662	0	0.029999
32675	31555	0	0.269698
32675	31582	1	0.901939
32595	31437	1	0.920380
32621	31649	1	0.616150
32534	31457	0	0.016381
32662	31686	1	0.920059
32662	31723	1	0.386575
32494	31413	0	0.164086
32588	31623	1	0.746713
32905	31624	1	0.394095
32580	31519	1	0.806763
32498	31439	0	0.959250
32672	31480	1	0.547747
32650	31409	0	0.107264
32516	31543	0	0.842886
32852	31511	1	0.639883
32591	31609	1	0.840571
32929	31609	1	0.735372
32737	31517	1	0.940578
32878	31642	0	0.231702
32514	31451	0	0.043988
32543	31628	0	0.003350
32663	31442	1	0.956785
32590	31639	1	0.691003
32525	31533	0	0.215087
32966	31410	1	0.739646
32791	31404	0	0.358538
32570	31565	1	0.776386
32690	31582	1	0.739797
32782	31726	0	0.017003
32642	31517	1	0.991554
32876	31565	0	0.403363
32811	31647	1	0.904185
32591	31637	0	0.053973
32965	31444	1	0.922374
32846	31453	0	0.050735
32745	31490	1	0.324801
32596	31534	1	0.687227
32651	31441	0	0.106710
32592	31494	1	0.712778
32832	31574	0	0.048758
32599	31712	1	0.703997
32962	31560	0	0.514859
32572	31668	0	0.133247
32626	31708	1	0.649269
32973	31672	0	0.021550
32969	31435	0	0.638841
32536	31686	1	0.977222
32640	31567	1	0.907712
32933	31697	0	0.052151
32901	31615	0	0.403544
32640	31434	0	0.605307
32580	31457	1	0.703743
